frame.number,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,ip.proto,tcp.flags.syn,tcp.flags.ack,tcp.flags.fin,ip.len,tcp.window_size_value,tcp.analysis.ack_rtt,tcp.analysis.initial_rtt,tcp.analysis.bytes_in_flight,tcp.analysis.push_bytes_sent,frame.time_epoch
156,10.0.0.134,10.0.0.134,152,0,60,6,False,False,False,40,512,,,,,1722051954.949983660
157,10.0.0.134,10.0.0.134,153,0,60,6,False,False,False,40,512,,,,,1722051955.950588370
158,10.0.0.134,10.0.0.134,154,0,60,6,False,False,False,40,512,,,,,1722051956.951729768
159,10.0.0.134,10.0.0.134,155,0,60,6,False,False,False,40,512,,,,,1722051957.952554017
160,10.0.0.134,10.0.0.134,156,0,60,6,False,False,False,40,512,,,,,1722051958.953206585
161,10.0.0.134,10.0.0.134,157,0,60,6,False,False,False,40,512,,,,,1722051959.954468259
162,10.0.0.134,10.0.0.134,158,0,60,6,False,False,False,40,512,,,,,1722051960.955611956
163,10.0.0.134,10.0.0.134,159,0,60,6,False,False,False,40,512,,,,,1722051961.956488267
164,10.0.0.134,10.0.0.134,160,0,60,6,False,False,False,40,512,,,,,1722051962.957182332
165,10.0.0.134,10.0.0.134,161,0,60,6,False,False,False,40,512,,,,,1722051963.958146285
166,10.0.0.134,10.0.0.134,162,0,60,6,False,False,False,40,512,,,,,1722051964.958923588
167,10.0.0.134,10.0.0.134,163,0,60,6,False,False,False,40,512,,,,,1722051965.960331349
168,10.0.0.134,10.0.0.134,164,0,60,6,False,False,False,40,512,,,,,1722051966.961293685
169,10.0.0.134,10.0.0.134,165,0,60,6,False,False,False,40,512,,,,,1722051967.962652463
170,10.0.0.134,10.0.0.134,166,0,60,6,False,False,False,40,512,,,,,1722051968.963698475
171,10.0.0.134,10.0.0.134,167,0,60,6,False,False,False,40,512,,,,,1722051969.964772000
172,10.0.0.134,10.0.0.134,168,0,60,6,False,False,False,40,512,,,,,1722051970.965914683
173,10.0.0.134,10.0.0.134,169,0,60,6,False,False,False,40,512,,,,,1722051971.966951997
174,10.0.0.134,10.0.0.134,170,0,60,6,False,False,False,40,512,,,,,1722051972.968209892
175,10.0.0.134,10.0.0.134,171,0,60,6,False,False,False,40,512,,,,,1722051973.969266457
176,10.0.0.134,10.0.0.134,172,0,60,6,False,False,False,40,512,,,,,1722051974.970198402
177,10.0.0.134,10.0.0.134,173,0,60,6,False,False,False,40,512,,,,,1722051975.971657906
178,10.0.0.134,10.0.0.134,174,0,60,6,False,False,False,40,512,,,,,1722051976.972640666
179,10.0.0.134,10.0.0.134,175,0,60,6,False,False,False,40,512,,,,,1722051977.973956424
180,10.0.0.134,10.0.0.134,176,0,60,6,False,False,False,40,512,,,,,1722051978.975173776
181,10.0.0.134,10.0.0.134,177,0,60,6,False,False,False,40,512,,,,,1722051979.976506976
182,10.0.0.134,10.0.0.2,,,89,17,,,,75,,,,,,1722051980.112695533
183,10.0.0.2,10.0.0.134,,,281,17,,,,267,,,,,,1722051980.121778768
184,10.0.0.134,185.125.190.17,56426,80,74,6,True,False,False,60,64240,,,,,1722051980.123426473
185,185.125.190.17,10.0.0.134,80,56426,60,6,True,True,False,44,64240,0.102126384,,,,1722051980.225552857
186,10.0.0.134,185.125.190.17,56426,80,54,6,False,True,False,40,64240,0.000049224,0.102175608,,,1722051980.225602081
187,10.0.0.134,185.125.190.17,56426,80,141,6,False,True,False,127,64240,,0.102175608,87,87,1722051980.226258022
188,185.125.190.17,10.0.0.134,80,56426,60,6,False,True,False,40,64240,0.000307240,0.102175608,,,1722051980.226565262
189,185.125.190.17,10.0.0.134,80,56426,243,6,False,True,True,229,64240,,0.102175608,189,189,1722051980.322295167
190,10.0.0.134,185.125.190.17,56426,80,54,6,False,True,True,40,64050,0.000568885,0.102175608,,,1722051980.322864052
191,185.125.190.17,10.0.0.134,80,56426,60,6,False,True,False,40,64239,0.000535479,0.102175608,,,1722051980.323399531
192,10.0.0.134,10.0.0.134,178,0,60,6,False,False,False,40,512,,,,,1722051980.977437381
193,10.0.0.134,10.0.0.134,179,0,60,6,False,False,False,40,512,,,,,1722051981.978756731
194,10.0.0.134,10.0.0.134,180,0,60,6,False,False,False,40,512,,,,,1722051982.980119676
195,10.0.0.134,10.0.0.134,181,0,60,6,False,False,False,40,512,,,,,1722051983.980965429
196,10.0.0.134,10.0.0.134,182,0,60,6,False,False,False,40,512,,,,,1722051984.981602023
197,10.0.0.134,10.0.0.134,183,0,60,6,False,False,False,40,512,,,,,1722051985.983480818
198,10.0.0.134,10.0.0.134,184,0,60,6,False,False,False,40,512,,,,,1722051986.984738104
199,10.0.0.134,10.0.0.134,185,0,60,6,False,False,False,40,512,,,,,1722051987.985512452
200,10.0.0.134,10.0.0.134,186,0,60,6,False,False,False,40,512,,,,,1722051988.986504638
201,10.0.0.134,10.0.0.134,187,0,60,6,False,False,False,40,512,,,,,1722051989.987418901
202,10.0.0.134,10.0.0.134,188,0,60,6,False,False,False,40,512,,,,,1722051990.987927209
203,10.0.0.134,10.0.0.134,189,0,60,6,False,False,False,40,512,,,,,1722051991.989766504
204,10.0.0.134,10.0.0.134,190,0,60,6,False,False,False,40,512,,,,,1722051992.990287861
205,10.0.0.134,10.0.0.134,191,0,60,6,False,False,False,40,512,,,,,1722051993.990925166
206,10.0.0.134,10.0.0.134,192,0,60,6,False,False,False,40,512,,,,,1722051994.991187008
207,10.0.0.134,10.0.0.134,193,0,60,6,False,False,False,40,512,,,,,1722051995.992130443
208,10.0.0.134,10.0.0.134,194,0,60,6,False,False,False,40,512,,,,,1722051996.993112479
209,10.0.0.134,10.0.0.134,195,0,60,6,False,False,False,40,512,,,,,1722051997.994885593
210,10.0.0.134,10.0.0.134,196,0,60,6,False,False,False,40,512,,,,,1722051999.006991202
